api_key,namespace,field,group,dataset_lane,market,adoption_priority,stockvision_use,raw_rows,raw_cols,overlap_cols,coverage,avg_rank_std,status,error
fundamental_features:推銷費用率,fundamental_features,推銷費用率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8637053196173398,0.288813901858142,backtestable,
fundamental_features:管理費用率,fundamental_features,管理費用率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8925239162630588,0.28880945922896106,backtestable,
fundamental_features:研究發展費用率,fundamental_features,研究發展費用率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9329243885842373,0.286852143435241,backtestable,
fundamental_features:現金流量比率,fundamental_features,現金流量比率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.28880738073145196,backtestable,
fundamental_features:稅率,fundamental_features,稅率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28480383083942445,backtestable,
fundamental_features:每股營業額,fundamental_features,每股營業額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.935496137373414,0.2888032845460385,backtestable,
fundamental_features:每股營業利益,fundamental_features,每股營業利益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.28880327063352124,backtestable,
fundamental_features:每股現金流量,fundamental_features,每股現金流量,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315695367553,backtestable,
fundamental_features:每股稅前淨利,fundamental_features,每股稅前淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031569536756,backtestable,
fundamental_features:每股綜合損益,fundamental_features,每股綜合損益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.2888032706335213,backtestable,
fundamental_features:每股稅後淨利,fundamental_features,每股稅後淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.28880327063352124,backtestable,
fundamental_features:總負債除總淨值,fundamental_features,總負債除總淨值,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031569536756,backtestable,
fundamental_features:負債比率,fundamental_features,負債比率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031569536756,backtestable,
fundamental_features:淨值除資產,fundamental_features,淨值除資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315695367553,backtestable,
fundamental_features:營收成長率,fundamental_features,營收成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9201497017972221,0.28880541385773356,backtestable,
fundamental_features:營業毛利成長率,fundamental_features,營業毛利成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.92103730536765,0.28880528874699796,backtestable,
fundamental_features:營業利益成長率,fundamental_features,營業利益成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9208151543049273,0.2888053206575972,backtestable,
fundamental_features:稅前淨利成長率,fundamental_features,稅前淨利成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9216457190889805,0.2888052033193669,backtestable,
fundamental_features:稅後淨利成長率,fundamental_features,稅後淨利成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9208151543049273,0.28880532053209906,backtestable,
fundamental_features:經常利益成長率,fundamental_features,經常利益成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9216457190889805,0.2888052031941974,backtestable,
fundamental_features:資產總額成長率,fundamental_features,資產總額成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9216457190889805,0.2888052033193669,backtestable,
fundamental_features:淨值成長率,fundamental_features,淨值成長率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9216457190889805,0.2888052033193669,backtestable,
fundamental_features:流動比率,fundamental_features,流動比率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.288807380731452,backtestable,
fundamental_features:速動比率,fundamental_features,速動比率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.28880738073145196,backtestable,
fundamental_features:利息支出率,fundamental_features,利息支出率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9246887883760957,0.28878937513890063,backtestable,
fundamental_features:營運資金,fundamental_features,營運資金,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.2888073805347957,backtestable,
fundamental_features:總資產週轉次數,fundamental_features,總資產週轉次數,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.935496137373414,0.2888032845460385,backtestable,
fundamental_features:應收帳款週轉率,fundamental_features,應收帳款週轉率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8831505423688107,0.2888109744154196,backtestable,
fundamental_features:存貨週轉率,fundamental_features,存貨週轉率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8820507945402873,0.28881105163333654,backtestable,
fundamental_features:固定資產週轉次數,fundamental_features,固定資產週轉次數,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9354250890605612,0.2888032947452751,backtestable,
fundamental_features:淨值週轉率次數,fundamental_features,淨值週轉率次數,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.935496137373414,0.2888032845460385,backtestable,
fundamental_features:自由現金流量,fundamental_features,自由現金流量,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315644187465,backtestable,
financial_statement:現金及約當現金,financial_statement,現金及約當現金,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315685507896,backtestable,
financial_statement:透過損益按公允價值衡量之金融資產_流動,financial_statement,透過損益按公允價值衡量之金融資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.7742935195933235,0.2839197722072515,backtestable,
financial_statement:透過其他綜合損益按公允價值衡量之金融資產_流動,financial_statement,透過其他綜合損益按公允價值衡量之金融資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.44058059480446704,0.2567444968706127,backtestable,
financial_statement:按攤銷後成本衡量之金融資產_流動,financial_statement,按攤銷後成本衡量之金融資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.6927961013489172,0.2872814237028496,backtestable,
financial_statement:避險之金融資產_流動,financial_statement,避險之金融資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.04735920425889605,0.27000698630939846,low_coverage,
financial_statement:合約資產_流動,financial_statement,合約資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.2421626706160189,0.28780844306238557,backtestable,
financial_statement:應收帳款及票據,financial_statement,應收帳款及票據,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2887870512427212,backtestable,
financial_statement:其他應收款,financial_statement,其他應收款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.7215016211023496,0.2888404864611832,backtestable,
financial_statement:存貨,financial_statement,存貨,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8870341832446064,0.28880990928506667,backtestable,
financial_statement:待出售非流動資產,financial_statement,待出售非流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.41629207861345713,0.19937900210383097,backtestable,
financial_statement:當期所得稅資產_流動,financial_statement,當期所得稅資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.630291598286835,0.2869901065750653,backtestable,
financial_statement:其他流動資產,financial_statement,其他流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.890741704358964,0.28877333657078763,backtestable,
financial_statement:流動資產,financial_statement,流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.28880738065587724,backtestable,
financial_statement:透過損益按公允價值衡量之金融資產_非流動,financial_statement,透過損益按公允價值衡量之金融資產_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.6401332906376336,0.2856692654266668,backtestable,
financial_statement:透過其他綜合損益按公允價值衡量之金融資產_非流動,financial_statement,透過其他綜合損益按公允價值衡量之金融資產_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.6887213305047433,0.2882374277811685,backtestable,
financial_statement:按攤銷後成本衡量之金融資產_非流動,financial_statement,按攤銷後成本衡量之金融資產_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.4170015610615218,0.28618507496502404,backtestable,
financial_statement:避險之金融資產_非流動,financial_statement,避險之金融資產_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.020079654164832084,0.24602993467157586,low_coverage,
financial_statement:合約資產_非流動,financial_statement,合約資產_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.03497878557419045,0.26600632225608944,low_coverage,
financial_statement:採權益法之長期股權投資,financial_statement,採權益法之長期股權投資,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.6534313333066485,0.28671009181377455,backtestable,
financial_statement:預付投資款,financial_statement,預付投資款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.18383200576391948,0.17232814971067464,low_coverage,
financial_statement:不動產廠房及設備,financial_statement,不動產廠房及設備,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9363617259736621,0.288803166264703,backtestable,
financial_statement:商譽及無形資產合計,financial_statement,商譽及無形資產合計,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2881977282330131,backtestable,
financial_statement:遞延所得稅資產,financial_statement,遞延所得稅資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9007975423287836,0.28879498747260945,backtestable,
financial_statement:遞延資產合計,financial_statement,遞延資產合計,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.2887167051853409,backtestable,
financial_statement:使用權資產,financial_statement,使用權資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8967888163951487,0.28880859115281815,backtestable,
financial_statement:投資性不動產淨額,financial_statement,投資性不動產淨額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.5483008445743105,0.2882420632475234,backtestable,
financial_statement:其他非流動資產,financial_statement,其他非流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9131059120201738,0.28880642392986966,backtestable,
financial_statement:非流動資產,financial_statement,非流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.288807380731452,backtestable,
financial_statement:資產總額,financial_statement,資產總額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315695367553,backtestable,
financial_statement:短期借款,financial_statement,短期借款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8700136092542929,0.2880747165009742,backtestable,
financial_statement:應付商業本票∕承兌匯票,financial_statement,應付商業本票∕承兌匯票,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9189909138213985,0.037051831273583635,backtestable,
financial_statement:透過損益按公允價值衡量之金融負債_流動,financial_statement,透過損益按公允價值衡量之金融負債_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.560629227874955,0.2450938551062937,backtestable,
financial_statement:避險之金融負債_流動,financial_statement,避險之金融負債_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.04851899291518232,0.2661846786171414,low_coverage,
financial_statement:按攤銷後成本衡量之金融負債_流動,financial_statement,按攤銷後成本衡量之金融負債_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.022945603010046833,0.11738586840081217,low_coverage,
financial_statement:合約負債_流動,financial_statement,合約負債_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.7218728735540167,0.2888074887317344,backtestable,
financial_statement:應付帳款及票據,financial_statement,應付帳款及票據,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2887877944625118,backtestable,
financial_statement:其他應付款,financial_statement,其他應付款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.28878717507018825,backtestable,
financial_statement:當期所得稅負債,financial_statement,當期所得稅負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8891476203818597,0.288562209025452,backtestable,
financial_statement:負債準備_流動,financial_statement,負債準備_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.4382420045631029,0.2855161169510305,backtestable,
financial_statement:與待出售非流動資產直接相關之負債,financial_statement,與待出售非流動資產直接相關之負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.09053156146179402,0.2226849566913414,low_coverage,
financial_statement:租賃負債─流動,financial_statement,租賃負債─流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8380278589440819,0.288816260639354,backtestable,
financial_statement:一年內到期長期負債,financial_statement,一年內到期長期負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.7436827042388824,0.286584612980248,backtestable,
financial_statement:特別股負債_流動,financial_statement,特別股負債_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.020568986911099547,0.13949498969926605,low_coverage,
financial_statement:流動負債,financial_statement,流動負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.288807380731452,backtestable,
financial_statement:透過損益按公允價值衡量之金融負債_非流動,financial_statement,透過損益按公允價值衡量之金融負債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.19211363727334588,0.18948221706472804,low_coverage,
financial_statement:避險之金融負債_非流動,financial_statement,避險之金融負債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.022323179762238323,0.2561814871389068,low_coverage,
financial_statement:按攤銷後成本衡量之金融負債_非流動,financial_statement,按攤銷後成本衡量之金融負債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.03950286194612336,0.17808491540137503,low_coverage,
financial_statement:合約負債_非流動,financial_statement,合約負債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.0912880758916063,0.2850419028108797,low_coverage,
financial_statement:特別股負債_非流動,financial_statement,特別股負債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.022889564904134813,0.1953795888968743,low_coverage,
financial_statement:應付公司債_非流動,financial_statement,應付公司債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.40965856782612176,0.25186201892081306,backtestable,
financial_statement:銀行借款_非流動,financial_statement,銀行借款_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.7773876235840371,0.2872303195863497,backtestable,
financial_statement:租賃負債_非流動,financial_statement,租賃負債_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8484069167033583,0.2888011847318576,backtestable,
financial_statement:負債準備_非流動,financial_statement,負債準備_非流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.27169575311211625,0.28587650718548074,backtestable,
financial_statement:遞延貸項,financial_statement,遞延貸項,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.09975183124524677,0.27244427779797253,low_coverage,
financial_statement:應計退休金負債,financial_statement,應計退休金負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.498783172557339,0.28877839290305357,backtestable,
financial_statement:遞延所得稅,financial_statement,遞延所得稅,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8867399831885683,0.28870978338380515,backtestable,
financial_statement:非流動負債,financial_statement,非流動負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.2888073461927482,backtestable,
financial_statement:負債總額,financial_statement,負債總額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031569536756,backtestable,
financial_statement:普通股股本,financial_statement,普通股股本,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031311352052,backtestable,
financial_statement:特別股股本,financial_statement,特別股股本,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.0711393747748469,0.23000246192961704,low_coverage,
financial_statement:預收股款,financial_statement,預收股款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.09562009371017506,backtestable,
financial_statement:待分配股票股利,financial_statement,待分配股票股利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.40326221830844977,0.1923448530602737,backtestable,
financial_statement:換股權利證書,financial_statement,換股權利證書,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.10818956890685666,0.19618226862072677,low_coverage,
financial_statement:股本,financial_statement,股本,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031295755724,backtestable,
financial_statement:資本公積合計,financial_statement,資本公積合計,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9338079894328143,0.2887993442184567,backtestable,
financial_statement:法定盈餘公積,financial_statement,法定盈餘公積,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8488692310771324,0.28877042277499765,backtestable,
financial_statement:未分配盈餘,financial_statement,未分配盈餘,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.8952137453468358,0.28880905193784273,backtestable,
