id,kind,api_key,namespace,field,group,dataset_lane,market,adoption_priority,stockvision_use,raw_rows,raw_cols,overlap_cols,coverage,avg_rank_std,status,direction_mode,direction,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,match_days,avg_daily_matches,max_daily_matches,latest_matches,selection_note
finlab701_financial_statement_存貨_high,finlab701_single,financial_statement:存貨,financial_statement,存貨,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.8870341832446064,0.28880990928506667,ok,high,1,0.063,0.44958335303642794,0.5220424001911386,1.6218332997320535,2.4420337160346817,-0.12151777577070733,1.8323033325679268,6.889230941294795,3.699428794654153,0.6025641025641025,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_margin_transactions_融資使用率_high,finlab701_single,margin_transactions:融資使用率,margin_transactions,融資使用率,chips / institutional flow,chip_diversity,tw,P0,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation",4282,2441,1150,0.9086578873634071,0.28862682589508426,ok,high,1,0.076,0.4706876758172851,0.5359940074623785,1.461735801178991,2.6117155693482257,-0.20194371969744784,1.8245900599006757,5.330053412511998,2.3306709899794598,0.5269922879177378,10.0,10.0,403,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_期末現金及約當現金餘額_high,finlab701_single,financial_statement:期末現金及約當現金餘額,financial_statement,期末現金及約當現金餘額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031568344883,ok,high,1,0.076,0.33616954723761716,0.4027297267494983,1.4898003742448402,1.6243495456772132,-0.07594039088014248,1.8243789628718947,6.006635556618253,4.426172707499653,0.6205128205128205,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_本期綜合損益總額_high,finlab701_single,financial_statement:本期綜合損益總額,financial_statement,本期綜合損益總額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.2888032702011807,ok,high,1,0.077,0.34546337715827113,0.40547448200967,1.3432140225899047,1.68561459629796,-0.07670002073906534,1.8114979591594815,5.021744715599247,4.503497376612499,0.6051282051282051,10.0,10.0,403,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_綜合損益歸屬母公司_high,finlab701_single,financial_statement:綜合損益歸屬母公司,financial_statement,綜合損益歸屬母公司,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315654755484,ok,high,1,0.076,0.3538047255298187,0.4135900406680165,1.3381602261354133,1.7414467496586639,-0.08978067941564671,1.7982423858903214,4.867974393195228,3.9403279698111464,0.6102564102564103,10.0,10.0,403,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_期初現金及約當現金餘額_high,finlab701_single,financial_statement:期初現金及約當現金餘額,financial_statement,期初現金及約當現金餘額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888028809231973,ok,high,1,0.076,0.2834019776035872,0.35270639330212095,1.5512239480373473,1.2949011971419586,-0.07602187744574984,1.7832815860095144,4.914934345765635,3.727409964403415,0.6230769230769231,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_管理費用_high,finlab701_single,financial_statement:管理費用,financial_statement,管理費用,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.893540607613177,0.2888093055003363,ok,high,1,0.076,0.33236068750828696,0.38926128160830087,1.2735922139426084,1.599526441721368,-0.10802100279118376,1.7817344935047414,6.112411459254233,3.0765306154818957,0.5846153846153846,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_歸屬母公司淨利_損_high,finlab701_single,financial_statement:歸屬母公司淨利_損,financial_statement,歸屬母公司淨利_損,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315644813487,ok,high,1,0.077,0.46423619983618036,0.5310588034404607,1.4956741491344816,2.5592377913217543,-0.08118425635699711,1.7771338565356072,6.259383793436586,5.717599010883406,0.6333333333333333,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_fundamental_features_歸屬母公司淨利_high,finlab701_single,fundamental_features:歸屬母公司淨利,fundamental_features,歸屬母公司淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315644813487,ok,high,1,0.069,0.46423619983618036,0.5310588034404607,1.4956741491344816,2.5592377913217543,-0.08118425635699711,1.7771338565356072,6.259383793436586,5.717599010883406,0.6333333333333333,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_合約負債_流動_high,finlab701_single,financial_statement:合約負債_流動,financial_statement,合約負債_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.7218728735540167,0.2888074887317344,ok,high,1,0.078,0.3548911677989983,0.41952359106753834,1.4466518732365137,1.7487780269387643,-0.09605117243929762,1.772945912791105,5.491450428403375,3.6944288601438733,0.5641025641025641,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_其他應付款_high,finlab701_single,financial_statement:其他應付款,financial_statement,其他應付款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.28878717507018825,ok,high,1,0.063,0.4819980174288345,0.5439067705923675,1.3856886250674625,2.705019026603749,-0.09802012873072041,1.7719794140553995,7.374706693087076,4.91683550424419,0.6102564102564103,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_當期所得稅資產_流動_high,finlab701_single,financial_statement:當期所得稅資產_流動,financial_statement,當期所得稅資產_流動,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.630291598286835,0.2869901065750653,ok,high,1,0.078,0.3547959171459887,0.4131482712243567,1.3060866058587275,1.7481347306985295,-0.0903268811920186,1.768004332072324,5.840369836600178,3.9274758267538625,0.5912596401028277,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_退還_支付_之所得稅_low,finlab701_single,financial_statement:退還_支付_之所得稅,financial_statement,退還_支付_之所得稅,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.931967738061882,0.2887917330122292,ok,low,-1,0.077,0.4151211260099952,0.487853311199802,1.6279468822056986,2.1770650425360145,-0.06888926827183206,1.7597089377970472,6.106160386133543,6.025044045057127,0.6,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_合併總損益_high,finlab701_single,financial_statement:合併總損益,financial_statement,合併總損益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.28880327012897106,ok,high,1,0.083,0.47790119799478403,0.5453346586566759,1.509346814678854,2.671030348953641,-0.07341386157490914,1.7524595133205123,6.816423081153425,6.50879956112381,0.6256410256410256,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_fundamental_features_經常稅後淨利_high,finlab701_single,fundamental_features:經常稅後淨利,fundamental_features,經常稅後淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.28880327012897106,ok,high,1,0.077,0.47790119799478403,0.5453346586566759,1.509346814678854,2.671030348953641,-0.07341386157490914,1.7524595133205123,6.816423081153425,6.50879956112381,0.6256410256410256,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_營運產生之現金流入_流出_high,finlab701_single,financial_statement:營運產生之現金流入_流出,financial_statement,營運產生之現金流入_流出,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031566787699,ok,high,1,0.077,0.48306426031393235,0.5275211962484979,0.995068827620448,2.713900932626883,-0.08861513195294657,1.751087621094918,8.841718035596235,5.4506464438372175,0.6051282051282051,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_fundamental_features_營運現金流_high,finlab701_single,fundamental_features:營運現金流,fundamental_features,營運現金流,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031566787699,ok,high,1,0.079,0.48306426031393235,0.5275211962484979,0.995068827620448,2.713900932626883,-0.08861513195294657,1.751087621094918,8.841718035596235,5.4506464438372175,0.6051282051282051,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_籌資活動之淨現金流入_流出_low,finlab701_single,financial_statement:籌資活動之淨現金流入_流出,financial_statement,籌資活動之淨現金流入_流出,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031217113347,ok,low,-1,0.077,0.554458555866465,0.609234068771128,1.2260270363341348,3.3432055740171824,-0.07052909705968313,1.741584500215598,8.585467675215355,7.860301293583863,0.6205128205128205,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_存貨_增加_減少_high,finlab701_single,financial_statement:存貨_增加_減少,financial_statement,存貨_增加_減少,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.8832426049713805,0.2888103694070404,ok,high,1,0.077,0.43344773942236836,0.526304188089427,2.0783833966453917,2.316123184339602,-0.13414646476781644,1.7198040299760693,5.126239690094957,3.230912056102052,0.5692307692307692,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_營業利益_high,finlab701_single,financial_statement:營業利益,financial_statement,營業利益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.2888032700884463,ok,high,1,0.076,0.4626030399160628,0.5304187280623822,1.517902119870684,2.546038406075262,-0.08361743117279596,1.7056696813968741,6.249481018618791,5.531714097019253,0.6307692307692307,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_fundamental_features_營業利益_high,finlab701_single,fundamental_features:營業利益,fundamental_features,營業利益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.2888032700884463,ok,high,1,0.723,0.4626030399160628,0.5304187280623822,1.517902119870684,2.546038406075262,-0.08361743117279596,1.7056696813968741,6.249481018618791,5.531714097019253,0.6307692307692307,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_取得無形資產_low,finlab701_single,financial_statement:取得無形資產,financial_statement,取得無形資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.8151693151342914,0.28699257047379173,ok,low,-1,0.077,0.37246395777227903,0.4632829348264067,2.0327791630973646,1.8692725839673971,-0.14383803867363076,1.6870063897351786,5.271677596935961,2.589287703931389,0.5666666666666667,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_償還長期借款_low,finlab701_single,financial_statement:償還長期借款,financial_statement,償還長期借款,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.7480706880678861,0.28561375355790986,ok,low,-1,0.077,0.2827267053918867,0.3138933156435387,0.6975946873545584,1.290883683366046,-0.14542171938815496,1.6834842319555585,5.217422611677781,1.9440511779778495,0.541025641025641,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_本期現金及約當現金增加_減少_數_high,finlab701_single,financial_statement:本期現金及約當現金增加_減少_數,financial_statement,本期現金及約當現金增加_減少_數,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031567544999,ok,high,1,0.077,0.38404844480674716,0.4420602094757422,1.2984632756142815,1.9506970928994098,-0.07840115455203256,1.6736032628761157,6.71568063682321,4.897880244218288,0.5974358974358974,10.0,10.0,403,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_母公司股東權益合計_high,finlab701_single,financial_statement:母公司股東權益合計,financial_statement,母公司股東權益合計,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031569185784,ok,high,1,0.083,0.3192021954032438,0.3746399693018252,1.2408502637326022,1.5150336075908717,-0.0717774079832878,1.668135514457628,5.39147229538363,4.4464928372612995,0.6051282051282051,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_負債及股東權益總額_high,finlab701_single,financial_statement:負債及股東權益總額,financial_statement,負債及股東權益總額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315695367553,ok,high,1,0.077,0.25160431215582335,0.31922639806495684,1.513568767894627,1.1110080713301014,-0.07241441779753266,1.6619538581880453,4.386671097782253,3.474026023366873,0.6015424164524421,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_資產總額_high,finlab701_single,financial_statement:資產總額,financial_statement,資產總額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315695367553,ok,high,1,0.079,0.25160431215582335,0.31922639806495684,1.513568767894627,1.1110080713301014,-0.07241441779753266,1.6619538581880453,4.386671097782253,3.474026023366873,0.6015424164524421,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_fundamental_features_EBITDA_high,finlab701_single,fundamental_features:EBITDA,fundamental_features,EBITDA,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315674216095,ok,high,1,0.074,0.4985845362254546,0.5558095015121424,1.280852535637118,2.8448789613906507,-0.06863151069109741,1.6459020734653853,7.606278133183285,7.263600862008993,0.6230769230769231,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_應付帳款及票據_high,finlab701_single,financial_statement:應付帳款及票據,financial_statement,應付帳款及票據,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2887877944625118,ok,high,1,0.063,0.48723055026986883,0.561823833879446,1.669603397296462,2.748749385796523,-0.13405013083887096,1.637959399067259,5.781102596013653,3.6344179825952807,0.6153846153846154,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_股東權益總額_high,finlab701_single,financial_statement:股東權益總額,financial_statement,股東權益總額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031569536756,ok,high,1,0.083,0.3084878473248043,0.3645441943262104,1.2546956356478216,1.447669434078469,-0.07796648390824845,1.635874884041263,5.2151518976462174,3.9561651393231396,0.6025641025641025,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_fundamental_features_自由現金流量_high,finlab701_single,fundamental_features:自由現金流量,fundamental_features,自由現金流量,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315644187465,ok,high,1,0.078,0.3963050094537064,0.42912303455997824,0.7345579060010323,2.0385910345344986,-0.07408700649699052,1.635016405388505,6.431233585407868,5.348461809584744,0.6,10.0,10.0,403,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_營業收入淨額_high,finlab701_single,financial_statement:營業收入淨額,financial_statement,營業收入淨額,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.935496137373414,0.2888032844081504,ok,high,1,0.077,0.40752770288444284,0.47352336836041187,1.4771649933288595,2.120662664410846,-0.15612697066044678,1.6208340890982769,5.478437363011155,2.6100653878491014,0.5769230769230769,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_攤銷費用_high,finlab701_single,financial_statement:攤銷費用,financial_statement,攤銷費用,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9050144097986631,0.2887905034512781,ok,high,1,0.077,0.3428206618596292,0.3954907579805102,1.1789020024862338,1.6680930746887048,-0.10359266394245858,1.6200957384712291,6.2161417745842416,3.3089946610835557,0.6076923076923076,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_歸屬非控制權益淨利_損_high,finlab701_single,financial_statement:歸屬非控制權益淨利_損,financial_statement,歸屬非控制權益淨利_損,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9314493855821959,0.278130525918615,ok,high,1,0.077,0.3019339053243304,0.35442209322914064,1.174830394951998,1.4070911313066548,-0.1340552153401361,1.6036256433871467,4.460630508163647,2.2521420232555895,0.5384615384615384,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_當期所得稅負債_high,finlab701_single,financial_statement:當期所得稅負債,financial_statement,當期所得稅負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.8891476203818597,0.288562209025452,ok,high,1,0.079,0.4464049647807269,0.521743153430814,1.6862764263697976,2.4169718796237176,-0.08428157045899065,1.60176098467126,5.9706168978960426,5.295962127054103,0.6076923076923076,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_institutional_investors_trading_summary_投信賣出股數_high,finlab701_single,institutional_investors_trading_summary:投信賣出股數,institutional_investors_trading_summary,投信賣出股數,chips / institutional flow,chip_diversity,tw,P0,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation",3455,2673,1167,0.9168014249689789,0.1935743745601439,ok,high,1,0.082,0.41963919592474475,0.517871638285927,2.198712961201529,2.2109606089324307,-0.17259597685428874,1.6008129347076119,5.01058030539056,2.431197363918618,0.5743589743589743,10.0,10.0,407,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_商譽及無形資產合計_high,finlab701_single,financial_statement:商譽及無形資產合計,financial_statement,商譽及無形資產合計,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2881977282330131,ok,high,1,0.079,0.3669579638106173,0.4207900389886215,1.2049102982399664,1.8311291559532274,-0.08073130632571801,1.5831808394979308,6.630329245655936,4.544860375806585,0.5974358974358974,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_保留盈餘_high,finlab701_single,financial_statement:保留盈餘,financial_statement,保留盈餘,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031559242341,ok,high,1,0.076,0.39789304993706076,0.4565360884525645,1.3125929251987205,2.050111552948559,-0.09831129844271913,1.5804426424127214,5.344817832313131,4.046865290015151,0.5820512820512821,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_營業成本_high,finlab701_single,financial_statement:營業成本,financial_statement,營業成本,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9271904895328824,0.2888044319386749,ok,high,1,0.076,0.4211516505009092,0.4927504741717046,1.6025791258751108,2.22236367025838,-0.1779771908239255,1.5761342059965575,5.2994889051678955,2.366190783456631,0.5820512820512821,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_margin_transactions_融券限額_high,finlab701_single,margin_transactions:融券限額,margin_transactions,融券限額,chips / institutional flow,chip_diversity,tw,P0,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation",4282,2441,1150,0.9086578873634071,0.28869229001815133,ok,high,1,0.077,0.22300436897653086,0.2865060633298332,1.4213430418384623,0.9546438962693542,-0.08924026034164023,1.5671609710865124,3.9729894147069773,2.498641103374876,0.583547557840617,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_margin_transactions_融資限額_high,finlab701_single,margin_transactions:融資限額,margin_transactions,融資限額,chips / institutional flow,chip_diversity,tw,P0,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation",4282,2441,1150,0.9086578873634071,0.28869229001815133,ok,high,1,0.076,0.22300436897653086,0.2865060633298332,1.4213430418384623,0.9546438962693542,-0.08924026034164023,1.5671609710865124,3.9729894147069773,2.498641103374876,0.583547557840617,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_股本_high,finlab701_single,financial_statement:股本,financial_statement,股本,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031295755724,ok,high,1,0.077,0.2090054749483239,0.27112672077222816,1.3904447968095932,0.8811454541050672,-0.08106330559088115,1.5660123738158824,3.789755237100043,2.577981413549667,0.5861182519280206,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
