feature_id,chip_5d,dealer_ratio_5d,foreign_5d,institutional_net,short_squeeze_proxy,advance_ratio,us_sentiment_score,vol_ratio_20d,BETA_60,CNTD_20,CNTD_5,CNTN_20,CNTN_5,CNTP_20,CNTP_5,CORD_10,CORR_10,IMIN_20,IMXD_20,KLEN,KLOW,KLOW2,KMID,KSFT,KSFT2,KUP,KUP2,RESI_10,RESI_20,RESI_5,RESI_60,RSQR_10,RSQR_20,RSQR_60,VSTD_10,VSTD_20,linear_factor,ma10_bias,ma60_bias,margin_balance,margin_change_5d_ts,margin_ratio,return_3d,return_5d,rsi5_dulling,volatility_20d,volatility_5d,vwap_bias,tech_bullish_streak_5,tech_disposal_active,tech_gap_down,tech_gap_up,tech_limit_down_count_10,tech_limit_up_streak_10,tech_locked_open_down_10,tech_locked_open_up_10,l1_bbBandwidthPct,l1_bestFvgStrength,l1_bestOrderBlockStrength,l1_bosBullish,l1_brokerConcentration,l1_brokerNetAmount5d,l1_closeAboveMa60Pct,l1_dealerNet5d,l1_diTrend,l1_displacementPct,l1_eps,l1_foreignTrustNet5d,l1_macdHist,l1_monthlyRevenueMoM,l1_monthlyRevenueYoY,l1_return20d,l1_revenueGrowthYoY,l1_roe,l1_sectorFlowCore,l1_sectorRsRatio,l1_sectorTurnoverShareDelta,l1_smcBullishScore,l1_smcNetScore,l1_squeezeMomentum,l1_squeezeRelease,l1_volumeExpansion20,l1_volumeMomentumDivergence132710,mom_12m_1m,mom_9m,mom_close_to_52w_high,mom_hl52,mom_ma50_200_ratio,mom_macd_trend_10,mom_reversal_1m,mom_reversal_6m,mom_rsi_14,mom_vol_adj_12m,size_log_mktcap,tech_adx_14,tech_atr_14,tech_bbands_pctb_20,tech_bbi,tech_bias_20,tech_cmo_14,tech_dma_10_50,tech_donchian_pos_20,tech_ema_12_pos,tech_emv_14,tech_granville_score,tech_kd9_k,tech_kdj_j_9,tech_keltner_pos_20,tech_ma_convergence,tech_mfi_14,tech_mtm_10,tech_obv,tech_psy_12,tech_roc_10,tech_sar,tech_slow_kd_14,tech_sma_20_pos,tech_tower_3,tech_trix_12,tech_volume_ratio_5,tech_vr_26,tech_williams_r_14,tech_wma_10_pos,val_bp,val_dp,val_ep,val_sp,liq_amihud_21d,vola_cv_90d,vola_min_130d,vola_realized_12m,vola_realized_1m,vol_chg_turnover_1y,vol_cv_volprice_20d,vol_money_flow_5d,vol_share_turnover_21d,vol_signal_5d
CNTD_5,0.267907,0.005743,0.226564,0.181372,0.318829,5.3e-05,5.3e-05,0.170421,0.059468,0.492507,1.0,-0.452334,-0.934965,0.443374,0.935087,0.112301,0.126589,0.180591,-0.244247,0.084501,0.088054,0.05612,0.281472,0.240604,0.264672,0.06352,0.022941,0.32264,0.505346,0.031454,0.396697,0.011397,0.00462,-0.001485,0.047478,0.029599,0.176421,0.618272,0.356917,0.013357,0.057655,-0.089875,0.501438,0.655808,0.335738,0.046351,0.124686,0.240844,0.582783,-0.032598,0.088215,0.123251,0.020631,-0.062937,0.015439,0.037314,-0.004946,0.26795,0.401606,0.243251,-0.329507,0.356432,0.295425,0.109724,0.373505,0.386697,0.06303,0.258219,0.379059,0.046582,0.060288,0.304315,0.017551,0.062812,0.080551,0.102646,0.074795,0.401612,0.435145,0.419803,0.002333,0.175707,0.071649,0.025618,0.111006,0.20732,0.210197,0.032894,0.081833,-0.296377,-0.128664,0.408582,0.112667,-0.060803,0.047499,-0.01864,0.553976,0.571319,-0.479253,0.408582,0.093689,0.506537,0.576057,0.265611,0.016021,0.535115,0.618388,0.527984,0.001836,-0.316462,0.393723,0.265627,-0.571591,0.4355,0.462349,0.446178,0.479253,0.426247,0.121892,0.142822,0.294288,-0.557322,0.636402,-0.030125,0.040244,0.02949,-0.009874,-0.036064,0.023144,0.023738,0.038955,0.010803,0.14991,-0.01104,-0.55233,-0.007037,0.148866
CNTN_20,-0.155712,-0.018471,-0.123561,-0.091861,-0.12659,5.2e-05,5.2e-05,-0.084551,-0.207981,-0.904235,-0.452334,1.0,0.506718,-0.646483,-0.346399,-0.135539,-0.088569,-0.409178,0.493634,0.050815,-0.036739,-0.055659,-0.154978,-0.155208,-0.165324,0.027152,0.017311,-0.022771,-0.022366,-0.022168,-0.39194,0.002319,0.017873,0.008341,0.016471,0.052508,-0.257127,-0.361656,-0.427601,0.084952,-0.026242,0.081055,-0.179709,-0.224481,-0.138786,-0.103599,-0.113667,-0.15535,-0.252013,0.066289,-0.0483,-0.050467,-0.0156,0.057979,-0.033394,-0.033615,0.133367,-0.110176,-0.15993,-0.170983,0.211578,-0.271678,-0.438797,-0.07964,-0.413674,-0.141699,-0.089064,-0.192878,-0.296197,-0.083042,-0.086594,-0.549904,-0.008607,-0.095939,-0.1196,-0.16166,-0.054263,-0.154503,-0.376271,-0.46331,0.001762,-0.164383,-0.049639,0.007351,-0.139527,-0.377357,-0.27558,-0.048626,-0.344606,0.529882,0.175282,-0.504918,-0.131399,0.036011,-0.117069,-0.094178,-0.47426,-0.460398,0.497288,-0.504918,-0.361332,-0.520028,-0.447646,-0.331916,-0.021459,-0.463046,-0.315103,-0.516476,-0.101618,0.426866,-0.365037,-0.505235,0.508411,-0.403,-0.288127,-0.516408,-0.497288,-0.1831,-0.446732,-0.041136,-0.516951,0.444671,-0.32971,-0.024708,-0.112553,-0.080458,-0.010727,-0.012911,-0.178165,-0.146447,-0.224916,-0.148404,-0.153554,0.02097,0.25277,-0.112771,-0.235097
CNTN_5,-0.252902,-0.007492,-0.214012,-0.172758,-0.265831,5.4e-05,5.4e-05,-0.15884,-0.033122,-0.458051,-0.934965,0.506718,1.0,-0.328384,-0.757512,-0.073608,-0.081298,-0.169537,0.213516,0.007606,-0.058955,-0.065841,-0.279031,-0.246654,-0.260642,-0.022165,-0.017576,-0.311114,-0.47719,-0.032789,-0.368114,-0.007579,0.001324,0.011018,0.032275,0.048592,-0.14252,-0.574012,-0.329586,0.04372,-0.050448,0.056913,-0.47727,-0.615969,-0.307622,-0.007013,-0.04762,-0.246934,-0.50327,0.023509,-0.090978,-0.107322,-0.035596,0.027263,-0.021202,-0.02927,0.09331,-0.236557,-0.32863,-0.222864,0.312172,-0.348688,-0.256517,-0.104451,-0.32722,-0.313921,-0.040972,-0.240859,-0.351217,-0.041073,-0.040729,-0.270646,-0.001868,-0.043914,-0.059133,-0.075551,-0.072953,-0.331459,-0.374035,-0.39025,-0.002497,-0.14887,-0.049983,0.003547,-0.071247,-0.218842,-0.164088,-0.001549,-0.058652,0.262664,0.089211,-0.368487,-0.066145,0.019314,-0.024409,-0.070301,-0.505102,-0.529704,0.438801,-0.368487,-0.071544,-0.467884,-0.532281,-0.260309,-0.003054,-0.498064,-0.578248,-0.478363,-0.074633,0.268056,-0.360255,-0.228281,0.441349,-0.397967,-0.43182,-0.410912,-0.438801,-0.38444,-0.094613,-0.142641,-0.252388,0.518125,-0.595711,-0.015974,-0.058868,-0.041339,-0.00077,-0.020643,-0.103635,-0.087051,-0.123216,-0.109828,-0.116341,-0.000653,0.529365,-0.086904,-0.118518
CNTP_20,0.152016,0.011585,0.120269,0.087093,0.240535,5.2e-05,5.2e-05,0.045527,0.294855,0.901651,0.443374,-0.646483,-0.328384,1.0,0.508574,0.226281,0.213303,0.417845,-0.527891,0.221771,0.132177,0.038853,0.107809,0.084924,0.119333,0.120357,0.033012,0.015557,0.005992,0.020225,0.377961,0.015142,0.003541,0.040612,0.25696,0.241175,0.33053,0.355322,0.420374,0.138156,0.020384,-0.160898,0.154323,0.197088,0.165687,0.202391,0.165124,0.084928,0.312267,-0.089568,0.035418,0.072151,-0.040255,-0.152092,0.006531,0.05307,0.194762,0.151763,0.24724,0.188772,-0.205729,0.223593,0.503573,0.073882,0.475859,0.238442,0.157567,0.196591,0.283573,0.089076,0.13999,0.58731,0.067473,0.151866,0.172211,0.230337,0.034664,0.235544,0.435145,0.453768,-0.007678,0.122476,0.068505,0.10256,0.261973,0.279115,0.39581,0.164213,0.411039,-0.570156,-0.291334,0.528946,0.280288,-0.180298,0.166968,-0.229518,0.495969,0.459209,-0.507998,0.528946,0.418414,0.518024,0.450648,0.273087,0.069121,0.441764,0.293343,0.548855,-0.153554,-0.51233,0.373642,0.579116,-0.772944,0.412241,0.270741,0.510172,0.507998,0.221254,0.509241,0.027776,0.597233,-0.431842,0.318363,-0.137152,0.033466,0.030043,-0.025423,-0.196179,-0.13745,-0.103699,-0.108938,-0.225162,0.207139,-0.049599,-0.223117,-0.241996,0.229064
CNTP_5,0.251932,0.003304,0.212326,0.168428,0.338785,5.4e-05,5.4e-05,0.165281,0.080186,0.468885,0.935087,-0.346399,-0.757512,0.508574,1.0,0.138384,0.160605,0.170736,-0.247725,0.168523,0.107843,0.039358,0.25213,0.207026,0.236242,0.099167,0.027271,0.297539,0.475641,0.025344,0.381532,0.018547,0.012458,0.008789,0.123254,0.105629,0.190348,0.589275,0.343795,0.069891,0.060243,-0.113269,0.466229,0.614616,0.322183,0.081629,0.188292,0.207201,0.594421,-0.040144,0.075911,0.126849,0.004454,-0.094957,0.00859,0.043959,0.086775,0.272426,0.430536,0.243081,-0.30769,0.324758,0.303403,0.10379,0.378363,0.416247,0.077571,0.245727,0.364863,0.047151,0.07337,0.305596,0.03144,0.074154,0.09373,0.118674,0.068777,0.426186,0.445063,0.403515,0.001894,0.185673,0.087164,0.051749,0.139415,0.174997,0.234365,0.061091,0.097496,-0.29858,-0.154896,0.402071,0.147408,-0.094943,0.067063,-0.106066,0.537175,0.548197,-0.466616,0.402071,0.107184,0.486228,0.55275,0.242128,0.029965,0.509125,0.584258,0.515865,-0.074729,-0.329545,0.383691,0.275284,-0.63702,0.424787,0.44191,0.429848,0.466616,0.419825,0.137154,0.129134,0.304782,-0.530486,0.603255,-0.073116,0.015432,0.013043,-0.019369,-0.088332,-0.061091,-0.042197,-0.0506,-0.091071,0.17019,-0.023327,-0.512269,-0.10145,0.165082
CORD_10,0.148158,0.003924,0.112502,0.058029,0.243338,5.1e-05,5.1e-05,0.088605,0.180261,0.198504,0.112301,-0.135539,-0.073608,0.226281,0.138384,1.0,0.67456,0.318422,-0.438441,0.259549,0.104267,-0.002651,0.015736,-0.007314,0.01107,0.133133,0.029603,-0.092598,0.09161,-0.039278,0.372538,-0.051035,-0.057334,-0.036281,0.260206,0.205993,0.268115,0.365309,0.397486,0.10687,0.07221,-0.102591,0.126595,0.218376,0.155214,0.203114,0.197861,-0.00733,0.115871,-0.019755,0.041659,0.066079,0.020811,-0.245099,-0.022131,0.028738,0.178695,0.13331,0.10435,0.153569,-0.115267,0.22431,0.41034,0.086104,0.552202,0.09292,-0.014728,0.167429,0.364799,0.08481,0.075833,0.432865,9.3e-05,-0.006918,0.124827,0.170565,0.039665,0.081076,0.318238,0.41128,0.008393,0.203015,0.158777,0.029961,0.161861,0.135641,0.252827,0.063361,0.282432,-0.425129,-0.192372,0.502737,0.157464,-0.011853,0.105882,-0.12062,0.484449,0.425216,-0.496379,0.502737,0.303912,0.417553,0.429348,0.214055,-0.011498,0.375062,0.25911,0.502408,-0.118436,-0.528333,0.457999,0.356073,-0.252878,0.507137,0.340158,0.43667,0.496379,0.09365,0.376082,-0.025573,0.382288,-0.376062,0.290844,-0.074627,-0.097838,-0.081744,-0.021637,-0.062632,-0.116726,-0.064174,-0.146295,-0.259363,0.230782,-0.185854,-0.053267,-0.22304,0.267492
CORR_10,0.114021,0.004718,0.082193,0.044833,0.252726,5.1e-05,5.1e-05,0.0726,0.194447,0.166679,0.126589,-0.088569,-0.081298,0.213303,0.160605,0.67456,1.0,0.275574,-0.405656,0.302127,0.105558,-0.024795,0.023102,-0.019248,-8e-05,0.172274,0.056754,0.063545,0.119546,0.00538,0.272243,0.051261,-0.098525,-0.054146,0.292162,0.254651,0.276431,0.273929,0.326478,0.144726,0.083299,-0.093681,0.164638,0.224574,0.167978,0.190479,0.170629,-0.019196,0.113172,0.003448,0.048461,0.084814,-0.008193,-0.247993,-0.021673,0.041024,0.2461,0.177741,0.133933,0.206046,-0.079569,0.139706,0.367413,0.064492,0.483399,0.131859,-0.030289,0.116177,0.238285,0.062571,0.071374,0.363813,0.011324,-0.019981,0.118727,0.16127,0.030158,0.117794,0.297141,0.29279,0.01846,0.131202,0.127888,0.072859,0.184025,0.092145,0.246812,0.103277,0.256035,-0.360441,-0.208453,0.399597,0.183554,0.008488,0.092103,-0.155113,0.419229,0.324318,-0.377531,0.399597,0.26767,0.296196,0.325454,0.121558,-0.028568,0.200233,0.133442,0.415899,-0.1816,-0.478135,0.316058,0.331152,-0.213446,0.347803,0.231437,0.275312,0.377532,0.118768,0.320949,0.001726,0.367408,-0.236354,0.240019,-0.086542,-0.128362,-0.104786,-0.027105,-0.075826,-0.169229,-0.118062,-0.216574,-0.324727,0.232571,-0.221937,-0.058297,-0.298653,0.198244
IMIN_20,0.146668,0.007461,0.116775,0.055964,0.118658,5.3e-05,5.3e-05,-0.065594,0.276768,0.456293,0.180591,-0.409178,-0.169537,0.417845,0.170736,0.318422,0.275574,1.0,-0.768648,0.054173,0.034819,0.007403,0.031872,0.015741,0.028296,0.049332,0.025664,-0.078101,-0.1205,-0.035044,0.376171,-0.125565,-0.065561,0.039252,0.122669,0.126567,0.308813,0.27645,0.453734,0.012494,0.012511,-0.09988,0.070625,0.133287,0.076295,0.196628,0.067565,0.015763,0.140978,-0.058607,0.059992,0.01653,0.032481,-0.13374,0.042212,0.028859,0.044193,0.043057,0.049532,0.10486,-0.134347,0.212235,0.504799,0.070545,0.516032,0.050017,0.076488,0.175343,0.276347,0.100954,0.106609,0.627137,0.023224,0.081797,0.147417,0.204885,0.023705,0.044042,0.375447,0.447016,-0.061771,-0.007964,-0.033246,0.024924,0.194714,0.297621,0.318162,0.087901,0.441192,-0.606594,-0.231482,0.529986,0.189492,-0.074266,0.19659,-0.057442,0.503632,0.403918,-0.500462,0.529986,0.458283,0.516737,0.395776,0.308594,0.050427,0.382916,0.190359,0.524795,0.06517,-0.471201,0.354987,0.413749,-0.320895,0.389245,0.233215,0.500654,0.500462,0.06616,0.565914,-0.036599,0.401961,-0.361293,0.221321,-0.057676,0.021306,0.01456,-0.012667,-0.068456,-0.016653,0.038818,0.03627,-0.100115,0.130163,-0.109743,-0.099442,-0.090351,0.168017
IMXD_20,-0.171311,-0.015061,-0.130845,-0.055945,-0.231681,5.2e-05,5.2e-05,-0.079368,-0.297386,-0.563158,-0.244247,0.493634,0.213516,-0.527891,-0.247725,-0.438441,-0.405656,-0.768648,1.0,-0.175524,-0.087089,-0.007209,-0.036999,-0.016037,-0.040256,-0.096118,-0.02597,0.090507,0.082074,0.048449,-0.507393,-0.012599,0.029689,-0.015738,-0.220581,-0.169023,-0.36624,-0.388304,-0.565595,-0.04062,-0.06441,0.172352,-0.121454,-0.216934,-0.176879,-0.253738,-0.211995,-0.016073,-0.202883,0.074063,-0.042566,-0.062843,-0.001692,0.233588,-0.027616,-0.058189,-0.108745,-0.137612,-0.115924,-0.273371,0.150373,-0.268295,-0.597612,-0.100775,-0.654033,-0.097858,-0.095091,-0.204873,-0.413716,-0.119323,-0.13082,-0.742136,-0.031293,-0.097437,-0.188007,-0.255259,-0.052856,-0.09425,-0.448495,-0.578667,0.002543,-0.2273,-0.138354,-0.035156,-0.236493,-0.343902,-0.386288,-0.101768,-0.49644,0.715451,0.277513,-0.700557,-0.233396,0.104536,-0.205975,0.105445,-0.648809,-0.526285,0.649663,-0.700557,-0.518893,-0.643598,-0.520665,-0.410316,-0.048426,-0.507072,-0.266409,-0.664877,0.087247,0.64811,-0.489474,-0.507582,0.440297,-0.534707,-0.352256,-0.64648,-0.649663,-0.116046,-0.653579,0.007155,-0.50255,0.47045,-0.312094,0.086374,-0.012391,-0.006233,0.023137,0.100255,0.02975,-0.015989,-0.004267,0.144308,-0.26268,0.129214,0.135208,0.13258,-0.356707
KLEN,0.017209,-0.009315,0.010149,-0.009188,0.281403,5.2e-05,5.2e-05,0.291439,0.216849,0.092141,0.084501,0.050815,0.007606,0.221771,0.168523,0.259549,0.302127,0.054173,-0.175524,1.0,0.338126,-0.061467,-0.032565,-0.102872,-0.008882,0.421583,0.061426,0.055042,0.085278,0.026508,0.133727,0.040442,0.039962,0.054286,0.426971,0.409952,0.215038,0.169453,0.144727,0.27364,0.095018,-0.285238,0.080816,0.092926,0.128577,0.214203,0.272647,-0.103227,0.123492,-0.076961,0.028181,0.068048,-0.126248,-0.333102,-0.027649,0.044773,0.595919,0.134687,0.268979,0.190535,-0.016413,-0.002024,0.27772,0.02928,0.28768,0.27333,0.004445,0.046198,0.096677,0.036557,0.1129,0.218803,0.070578,-0.000931,0.125008,0.160184,0.036389,0.228404,0.271489,0.162195,0.010518,0.181808,0.137139,0.20958,0.285761,-0.056297,0.290766,0.237396,0.210574,-0.221556,-0.283599,0.200166,0.313253,-0.066477,0.186852,-0.461093,0.220097,0.195288,-0.213095,0.200166,0.20962,0.172441,0.193307,0.016156,0.118035,0.119911,0.114584,0.247234,-0.465574,-0.270288,0.166791,0.228007,-0.202897,0.185242,0.125171,0.141029,0.213095,0.178164,0.211601,0.277732,0.240833,-0.150554,0.15295,-0.284663,-0.308198,-0.232679,-0.110788,-0.231614,-0.555517,-0.391963,-0.585349,-0.673742,0.434337,-0.173416,-0.069212,-0.585608,0.228739
KLOW,0.022206,0.000382,0.016588,0.006169,0.146604,5.2e-05,5.2e-05,0.078371,0.127599,0.091754,0.088054,-0.036739,-0.058955,0.132177,0.107843,0.104267,0.105558,0.034819,-0.087089,0.338126,1.0,0.8572,-0.030878,0.27225,0.397904,0.028343,-0.126965,0.042079,0.062753,0.017717,0.089322,0.062956,0.045047,0.032377,0.214545,0.205799,0.1229,0.124888,0.094194,0.13385,0.032985,-0.124677,0.062239,0.068556,0.088996,0.07766,0.054595,0.272418,0.033351,-0.023677,0.007632,-0.042249,-0.032575,-0.143665,-0.003644,0.016914,0.252036,0.02951,0.081452,0.042073,-0.026674,0.017348,0.169267,0.014505,0.097927,0.072255,0.029324,0.046215,0.069801,0.024418,0.063585,0.136906,0.032043,0.024127,0.057944,0.075314,0.006556,0.072873,0.115341,0.125928,-0.010085,0.095723,0.065797,0.10456,0.153398,0.040694,0.171312,0.128154,0.131367,-0.138505,-0.159768,0.129979,0.156775,-0.071207,0.107004,-0.193523,0.143427,0.142751,-0.142852,0.129979,0.130515,0.161726,0.140388,0.008013,0.067062,0.13418,0.133354,0.160259,-0.218074,-0.121698,0.115656,0.126694,-0.128827,0.124695,0.081415,0.133811,0.142852,0.045054,0.132331,0.058741,0.132015,-0.163234,0.121042,-0.110882,-0.107727,-0.080676,-0.034332,-0.137317,-0.222488,-0.148246,-0.207507,-0.257959,0.169347,-0.043983,-0.088908,-0.252542,0.129623
KLOW2,0.019067,0.005647,0.01675,0.013618,0.021122,5.2e-05,5.2e-05,-0.034568,0.027598,0.051846,0.05612,-0.055659,-0.065841,0.038853,0.039358,-0.002651,-0.024795,0.007403,-0.007209,-0.061467,0.8572,1.0,-0.013219,0.350125,0.469551,-0.162155,-0.182789,0.024473,0.029369,0.015176,0.030697,0.042736,0.02725,0.009059,0.036269,0.034807,0.033614,0.053153,0.032932,0.02185,-0.012109,-0.001593,0.03388,0.032743,0.03421,-0.017234,-0.064402,0.350593,-0.023632,0.006078,0.000871,-0.073973,0.019896,0.011811,0.013492,-0.010701,-0.005656,-0.036999,-0.026371,-0.044539,-0.020205,0.017447,0.042441,-0.000136,-0.030112,-0.037316,0.024347,0.030303,0.02637,0.007778,0.013293,0.037777,0.000204,0.020941,0.002466,0.004223,-0.010527,-0.016743,0.005294,0.053708,-0.014364,0.018867,0.005747,0.009763,0.022765,0.055648,0.040004,0.016875,0.03442,-0.038062,-0.030082,0.045121,0.014674,-0.045281,0.023078,0.006116,0.053056,0.058699,-0.048515,0.045121,0.032677,0.095109,0.057573,-0.003524,0.006869,0.087031,0.092186,0.057234,-0.017274,-0.004283,0.0417,0.026435,-0.046162,0.042564,0.026278,0.075946,0.048515,-0.026053,0.034369,-0.045523,0.02822,-0.108702,0.057734,0.016991,0.025355,0.021955,0.016698,-0.041191,0.017238,0.021176,0.045919,0.03171,-0.016268,0.036868,-0.063777,-0.002226,0.031305
KMID,0.133091,0.009737,0.12108,0.380261,0.117138,5.2e-05,5.2e-05,0.095942,-0.005701,0.143893,0.281472,-0.154978,-0.279031,0.107809,0.25213,0.015736,0.023102,0.031872,-0.036999,-0.032565,-0.030878,-0.013219,1.0,0.790816,0.695473,0.158298,0.160104,0.525447,0.379645,0.63423,0.212848,-0.012537,-0.003761,-0.000942,-0.057976,-0.064086,0.059052,0.362591,0.174364,-0.060734,0.0063,-0.043454,0.390359,0.290871,0.161343,0.004603,0.027763,0.791762,0.348381,-0.000446,0.061591,0.121173,0.027759,0.00707,0.000938,-0.007283,-0.077336,0.110641,0.692628,0.257066,-0.553549,0.183404,0.128799,0.053624,0.0895,0.707255,0.021218,0.131045,0.096729,0.00518,0.00346,0.131425,-0.006593,0.021434,0.016793,0.020689,0.047296,0.688604,0.503417,0.223925,0.019365,0.018362,-0.007518,-0.01673,0.02245,0.133277,0.082899,-0.012771,-0.00643,-0.126249,-0.033816,0.172695,0.015274,-0.016677,-0.006236,0.057015,0.297057,0.387998,-0.246164,0.172695,0.001108,0.309537,0.361657,0.083771,0.006272,0.177599,0.2723,0.273559,0.06598,-0.062756,0.179955,0.069498,-0.147028,0.198272,0.205891,0.136682,0.246164,0.504869,-0.005343,0.135752,0.076906,-0.361387,0.456717,0.014052,0.046692,0.035503,0.000868,0.029987,0.077638,0.068392,0.103767,0.087871,0.056805,0.021709,-0.569682,0.099028,0.013062
KSFT,0.125602,0.011962,0.115169,0.324631,0.086797,5.2e-05,5.2e-05,0.052514,-0.010111,0.131571,0.240604,-0.155208,-0.246654,0.084924,0.207026,-0.007314,-0.019248,0.015741,-0.016037,-0.102872,0.27225,0.350125,0.790816,1.0,0.882797,-0.23645,-0.266441,0.449359,0.330219,0.532098,0.191585,-0.004752,0.002368,0.000396,-0.092714,-0.098887,0.050469,0.320392,0.157747,-0.092513,-0.008472,-0.029673,0.343162,0.259383,0.144796,0.004501,0.028328,0.999604,0.266472,-0.009842,0.026122,0.067107,0.034933,0.019799,-0.00047,-0.005959,-0.104246,0.052862,0.560698,0.230533,-0.472331,0.182403,0.110887,0.041108,0.02266,0.57393,0.022074,0.13211,0.09195,0.007247,0.001482,0.116461,-0.013332,0.021318,0.0038,0.005317,0.031783,0.563062,0.424323,0.209047,0.02146,0.014315,-0.014828,-0.0299,0.006763,0.143679,0.06976,-0.02266,-0.005757,-0.111579,-0.020184,0.156405,-0.004131,-0.00957,-0.005929,0.086713,0.262336,0.341467,-0.219561,0.156405,0.001698,0.308038,0.319309,0.058409,0.005619,0.196001,0.282259,0.242574,0.082409,-0.024564,0.162676,0.050543,-0.119619,0.178032,0.176142,0.151383,0.219561,0.417725,-0.004499,0.079663,0.05631,-0.362046,0.400076,0.029473,0.064446,0.051124,0.013196,0.051419,0.108649,0.09314,0.147729,0.124398,0.018938,0.037472,-0.503375,0.14265,0.010267
KSFT2,0.11661,0.010065,0.107117,0.298109,0.100039,5.2e-05,5.2e-05,0.064387,0.023739,0.156938,0.264672,-0.165324,-0.260642,0.119333,0.236242,0.01107,-8e-05,0.028296,-0.040256,-0.008882,0.397904,0.469551,0.695473,0.882797,1.0,-0.238342,-0.312327,0.397109,0.301987,0.461583,0.188614,0.001071,0.007652,0.010222,-0.045417,-0.052988,0.084403,0.31388,0.173531,-0.064962,-0.002407,-0.058465,0.337703,0.262158,0.146396,0.025134,0.047362,0.882526,0.297583,-0.015578,0.028697,0.068047,0.024467,-0.023096,-0.002347,0.002198,-0.043793,0.062504,0.540982,0.205795,-0.430593,0.162188,0.142086,0.036137,0.050954,0.551243,0.020179,0.129607,0.100123,0.013515,0.016858,0.137425,-0.005447,0.019531,0.016161,0.022683,0.031301,0.55049,0.431033,0.217014,0.013373,0.034935,-0.000189,-0.001497,0.04258,0.140524,0.108204,0.0116,0.029264,-0.133908,-0.05632,0.184402,0.034527,-0.013445,0.022302,0.040708,0.291094,0.33662,-0.229943,0.184402,0.036018,0.336869,0.316434,0.058181,0.014555,0.226339,0.306513,0.271711,0.034111,-0.058553,0.17341,0.076097,-0.152808,0.188216,0.175946,0.182479,0.229943,0.413627,0.031171,0.084339,0.084917,-0.389836,0.382,0.002249,0.031036,0.024498,0.00091,0.025519,0.05096,0.054662,0.091513,0.05699,0.062069,0.016821,-0.460546,0.078924,0.040122
KUP,0.012955,-0.006712,0.010491,0.057855,0.148699,5.2e-05,5.2e-05,0.116294,0.110223,0.050016,0.06352,0.027152,-0.022165,0.120357,0.099167,0.133133,0.172274,0.049332,-0.096118,0.421583,0.028343,-0.162155,0.158298,-0.23645,-0.238342,1.0,0.873666,0.071562,0.061776,0.084262,0.0588,0.033086,0.021307,0.02008,0.275837,0.271884,0.099623,0.097517,0.061701,0.209845,0.042327,-0.116202,0.052083,0.047186,0.065511,0.054536,0.031795,-0.234764,0.079258,0.002337,0.064281,0.025025,-0.054582,-0.100959,-0.003934,0.004708,0.278779,0.098291,0.151139,0.025053,-0.076619,-0.030243,0.13723,0.017168,0.182494,0.146138,0.033879,0.010693,0.033612,0.012517,0.059902,0.103818,0.049026,0.02934,0.067218,0.085302,0.021272,0.133246,0.1264,0.073159,-0.016032,0.067256,0.066082,0.123872,0.154061,-0.026979,0.146546,0.130036,0.100499,-0.105489,-0.149727,0.092284,0.167593,-0.096365,0.077445,-0.244564,0.111813,0.116095,-0.106457,0.092284,0.097694,0.057656,0.111484,0.029382,0.04747,0.017425,0.015267,0.12402,-0.224809,-0.151233,0.079174,0.112214,-0.113392,0.089215,0.068524,0.035791,0.106457,0.085412,0.098941,0.119176,0.118776,-0.042334,0.103111,-0.129728,-0.125918,-0.09548,-0.050343,-0.19199,-0.265435,-0.193153,-0.28955,-0.30761,0.183289,-0.056534,-0.07281,-0.331653,0.091714
KUP2,0.000199,-0.003655,0.001508,0.057907,0.035472,5.2e-05,5.2e-05,0.008092,0.021824,0.007884,0.022941,0.017311,-0.017576,0.033012,0.027271,0.029603,0.056754,0.025664,-0.02597,0.061426,-0.126965,-0.182789,0.160104,-0.266441,-0.312327,0.873666,1.0,0.035077,0.015256,0.062046,-0.00128,0.020983,0.007196,-0.002011,0.121376,0.124528,0.01429,0.014905,-0.003403,0.112328,0.003707,-0.003272,0.004799,-0.002576,0.012482,-0.028916,-0.079776,-0.264334,0.023687,0.026051,0.061138,0.005851,-0.004507,0.014667,0.010857,-0.016559,0.056926,0.048674,0.031268,-0.053535,-0.064184,-0.038343,0.018296,0.002984,0.069756,0.023112,0.027875,-0.014955,-0.009769,-0.003462,0.013807,0.010183,0.02255,0.0254,0.019149,0.022816,0.004572,0.028934,0.000949,-0.003535,-0.018401,-0.003371,0.013345,0.040433,0.038327,-0.016768,0.026341,0.033239,0.014337,-0.011058,-0.034035,0.003585,0.043342,-0.07259,0.003454,-0.070247,0.010191,0.021846,-0.009844,0.003585,0.010685,-0.027607,0.019213,0.018734,-0.00182,-0.046369,-0.048683,0.013546,-0.054007,-0.046664,0.004515,0.020694,-0.032569,0.006726,0.010179,-0.032933,0.009845,0.001163,0.012599,0.017174,0.023326,0.036876,0.024237,-0.017838,-0.010391,-0.005653,-0.007699,-0.106364,-0.056632,-0.046675,-0.071546,-0.055557,0.009646,0.009824,-0.024871,-0.113301,0.001611
