api_key,market,namespace,field,group,adoption_priority,adoption_mode,dataset_lane,quality_gate,replaces_twse_tpex_primary,stockvision_use
fundamental_features:每股營業利益,tw,fundamental_features,每股營業利益,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:每股現金流量,tw,fundamental_features,每股現金流量,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:每股稅前淨利,tw,fundamental_features,每股稅前淨利,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:每股綜合損益,tw,fundamental_features,每股綜合損益,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:每股稅後淨利,tw,fundamental_features,每股稅後淨利,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:總負債除總淨值,tw,fundamental_features,總負債除總淨值,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:負債比率,tw,fundamental_features,負債比率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:淨值除資產,tw,fundamental_features,淨值除資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營收成長率,tw,fundamental_features,營收成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營業毛利成長率,tw,fundamental_features,營業毛利成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營業利益成長率,tw,fundamental_features,營業利益成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:稅前淨利成長率,tw,fundamental_features,稅前淨利成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:稅後淨利成長率,tw,fundamental_features,稅後淨利成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:經常利益成長率,tw,fundamental_features,經常利益成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:資產總額成長率,tw,fundamental_features,資產總額成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:淨值成長率,tw,fundamental_features,淨值成長率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:流動比率,tw,fundamental_features,流動比率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:速動比率,tw,fundamental_features,速動比率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:利息支出率,tw,fundamental_features,利息支出率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營運資金,tw,fundamental_features,營運資金,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:總資產週轉次數,tw,fundamental_features,總資產週轉次數,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:應收帳款週轉率,tw,fundamental_features,應收帳款週轉率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:存貨週轉率,tw,fundamental_features,存貨週轉率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:固定資產週轉次數,tw,fundamental_features,固定資產週轉次數,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:淨值週轉率次數,tw,fundamental_features,淨值週轉率次數,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:自由現金流量,tw,fundamental_features,自由現金流量,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
price_earning_ratio:殖利率(%),tw,price_earning_ratio,殖利率(%),price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price_earning_ratio:本益比,tw,price_earning_ratio,本益比,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price_earning_ratio:股價淨值比,tw,price_earning_ratio,股價淨值比,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
financial_statement:現金及約當現金,tw,financial_statement,現金及約當現金,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:透過損益按公允價值衡量之金融資產_流動,tw,financial_statement,透過損益按公允價值衡量之金融資產_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:透過其他綜合損益按公允價值衡量之金融資產_流動,tw,financial_statement,透過其他綜合損益按公允價值衡量之金融資產_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:按攤銷後成本衡量之金融資產_流動,tw,financial_statement,按攤銷後成本衡量之金融資產_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:避險之金融資產_流動,tw,financial_statement,避險之金融資產_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:合約資產_流動,tw,financial_statement,合約資產_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:應收帳款及票據,tw,financial_statement,應收帳款及票據,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:其他應收款,tw,financial_statement,其他應收款,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:存貨,tw,financial_statement,存貨,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:待出售非流動資產,tw,financial_statement,待出售非流動資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:當期所得稅資產_流動,tw,financial_statement,當期所得稅資產_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:其他流動資產,tw,financial_statement,其他流動資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:流動資產,tw,financial_statement,流動資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:透過損益按公允價值衡量之金融資產_非流動,tw,financial_statement,透過損益按公允價值衡量之金融資產_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:透過其他綜合損益按公允價值衡量之金融資產_非流動,tw,financial_statement,透過其他綜合損益按公允價值衡量之金融資產_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:按攤銷後成本衡量之金融資產_非流動,tw,financial_statement,按攤銷後成本衡量之金融資產_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:避險之金融資產_非流動,tw,financial_statement,避險之金融資產_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:合約資產_非流動,tw,financial_statement,合約資產_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:採權益法之長期股權投資,tw,financial_statement,採權益法之長期股權投資,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:預付投資款,tw,financial_statement,預付投資款,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:不動產廠房及設備,tw,financial_statement,不動產廠房及設備,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:商譽及無形資產合計,tw,financial_statement,商譽及無形資產合計,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:遞延所得稅資產,tw,financial_statement,遞延所得稅資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:遞延資產合計,tw,financial_statement,遞延資產合計,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:使用權資產,tw,financial_statement,使用權資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:投資性不動產淨額,tw,financial_statement,投資性不動產淨額,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:其他非流動資產,tw,financial_statement,其他非流動資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:非流動資產,tw,financial_statement,非流動資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:資產總額,tw,financial_statement,資產總額,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:短期借款,tw,financial_statement,短期借款,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:應付商業本票∕承兌匯票,tw,financial_statement,應付商業本票∕承兌匯票,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:透過損益按公允價值衡量之金融負債_流動,tw,financial_statement,透過損益按公允價值衡量之金融負債_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:避險之金融負債_流動,tw,financial_statement,避險之金融負債_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:按攤銷後成本衡量之金融負債_流動,tw,financial_statement,按攤銷後成本衡量之金融負債_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:合約負債_流動,tw,financial_statement,合約負債_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:應付帳款及票據,tw,financial_statement,應付帳款及票據,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:其他應付款,tw,financial_statement,其他應付款,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:當期所得稅負債,tw,financial_statement,當期所得稅負債,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:負債準備_流動,tw,financial_statement,負債準備_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:與待出售非流動資產直接相關之負債,tw,financial_statement,與待出售非流動資產直接相關之負債,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:租賃負債─流動,tw,financial_statement,租賃負債─流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:一年內到期長期負債,tw,financial_statement,一年內到期長期負債,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:特別股負債_流動,tw,financial_statement,特別股負債_流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:流動負債,tw,financial_statement,流動負債,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:透過損益按公允價值衡量之金融負債_非流動,tw,financial_statement,透過損益按公允價值衡量之金融負債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:避險之金融負債_非流動,tw,financial_statement,避險之金融負債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:按攤銷後成本衡量之金融負債_非流動,tw,financial_statement,按攤銷後成本衡量之金融負債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:合約負債_非流動,tw,financial_statement,合約負債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:特別股負債_非流動,tw,financial_statement,特別股負債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:應付公司債_非流動,tw,financial_statement,應付公司債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:銀行借款_非流動,tw,financial_statement,銀行借款_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:租賃負債_非流動,tw,financial_statement,租賃負債_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:負債準備_非流動,tw,financial_statement,負債準備_非流動,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:遞延貸項,tw,financial_statement,遞延貸項,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
financial_statement:應計退休金負債,tw,financial_statement,應計退休金負債,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
